External ID,Status,Company,M,Title,Address,Unit,City,State,Zip,Square Feet,Forms,Parking Space,Area,Type,Bedroom,Bathroom,Monthly Rent,Price per Bedroom,Available,Paid Utilities,Pets,Pets Info,Laundry,Web Description,Phone,Gate Code,Key Number,Email,Commission,Bonus,Deposit and 1st Month's Rent Paid To,Description,Double Occupancy,Dbl Occ Info,Listing Type,Pool
,Leased,ACR,,1109 W 22nd 1/2 A and B,1109 W 22nd 1/2 ,,Austin,TX,,,TAA + ADDENDA,,WC,House/Duplex,7,4.0,8000.0,1333.0,2016/8/8,,,,,,"Must Give 24 Hour Notice:  713-471-2529, 713-898-9874, 713-444-1017, 713-557-8007, 713-592-7574, 713-204-4541",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property",House and backhouse.  6 large bedrooms and a study that are easy to share. Walk to campus. Wood floors and updated appliances.  --  Owner Managed,,,,
,Leased,ACR,,2834 Salado,2834 Salado,,Austin,TX,,,TAA + ADDENDA,,WC,T,7,4.0,6000.0,857.0,2016/8/12,,,,,,"832-561-4243, 512-638-6622, 281-253-3999, 281-901-8442, 325-642-2656, 823-228-7738, 817-897-0881",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Front house w/ 2 Backhouses, GREAT FOR GROUPS!  Newly refinished with wood flooring, stainless steel appliances and deck space. Includes 2 W/D and Dishwasher.",,,,
,Leased,ACR,,903 Shoal Cliff - 75% COMMISSION,903 Shoal Cliff,,Austin,TX,,,TAA + ADDENDA,,WC,House/Duplex,6,3.0,6500.0,1083.0,2016/8/10,,,,,,"956-451-1822, 361-463-8643, 210-204-5092, 512-299-0598, 512-744-8859,",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Front (5/2) and back house (1/1)with fenced yard.  Wood floors, washer/dryer",,,,
,Leased,ACR,,5208 Martin,5208 Martin,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,6,3.5,3900.0,650.0,2016/8/12,,,,,,"682-365-7412, 210-412-1354, 210-365-9431, 817-454-9984, 817-727-2453",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Modern house, 2 story, W/D included, Stained Concrete Floors, Cover Parking in Back",,,,
,Leased,ACR,,2826 San Gabriel,2826 San Gabriel,,Austin,TX,,,TAA + ADDENDA,,WC,House/Duplex,6,4.0,8000.0,1333.0,2016/8/6,,,,,,"713-299-5555, 806-438-2606, 512-658-5764, 214-912-1024, 512-804-6972, 512-496-7136",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","3000 SF house with 3 levels and a fenced in backyard.  Beautiful landscaping with a large deck, front patio and garage.  Stainless Steel Appliances, W/D",,,,
,Leased,ACR,,2829 San Gabriel,2829 San Gabriel,,Austin,TX,,,TAA + ADDENDA,,WC,House/Duplex,6,4.0,8000.0,1333.0,2016/8/6,,,,,,"713-201-1217, 817-773-6790, 210-667-5921, 210-296-8116, 713-253-4398",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Refinished house with 2 living areas, Game Room with Pool Table and Bar, two huge balconies and a fenced in backyard.   Include a laundry room with Washer/Dryer, hardwood floors, stainless steel appliances and a 2 car garage.",,,,
,Leased,ACR,,4518 Speedway #A,4518 Speedway,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,6,2.0,3300.0,550.0,2016/8/8,,,,,,"409-313-1234, 210-287-9342, 703-599-3726, 512-689-9275, 956-289-9933",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Wood Floors, W/D, Big Rooms, On Bus Line",,,,
,Leased,ACR,,4518 Speedway #B,4518 Speedway,B,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,6,2.0,3300.0,550.0,2016/8/8,,,,,,"214-385-6954, 214-663-9036, 214-938-3590, 972-832-1033, 512-585-5403",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Wood Floors, W/D, Big Rooms, On Bus Line",,,,
,Leased,ACR,,802 Leonard,802 Leonard,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,6,3.0,5200.0,867.0,2016/8/11,,,,,,"713-289-9738, 713-819-1861, 832-687-1636, 832-748-7732",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","House one block north of campus, 2300 SF.  Fenced in backyard and backs up to a creek.  Laundry room with washer/dryer and two-car garage.",,,,
,Leased,ACR,,3412 Speedway A,3412 Speedway ,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,6,3.0,4350.0,725.0,2016/8/10,,,,,,"817-995-3441, 832-247-9749, 713-628-6366, 512-820-8901, 512-217-5059, 281-702-2025",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Spacious Bedrooms, Large Private Parking Area, Open Upstairs Deck Area, Bus or Bike to Campus, Washer/Dryer",,,,
,Leased,ACR,,3412 Speedway B,3412 Speedway ,B,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,6,3.0,4350.0,725.0,2016/8/10,,,,,,"713-213-7974, 806-470-1318, 512-903-4177, 301-509-5042, 210-544-2701",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Spacious Bedrooms, Large Private Parking Area, Open Upstairs Deck Area, Bus or Bike to Campus, Washer/Dryer",,,,
